Site_ID,year
06-107-1001,2002
06-107-1001,2003
06-107-1001,2004
06-107-1001,2005
06-107-1001,2006
06-107-1001,2007
06-107-1001,2008
06-111-2002,2002
06-111-2002,2003
06-111-2002,2004
06-111-2002,2005
06-111-2002,2006
06-111-2002,2007
06-111-2002,2008
08-001-0006,2002
08-001-0006,2003
08-001-0006,2004
08-001-0006,2005
08-001-0006,2006
08-001-0006,2007
08-041-0011,2002
08-041-0011,2003
08-041-0011,2004
08-041-0011,2005
08-041-0011,2006
08-057-9000,2001
08-057-9000,2002
08-057-9000,2003
08-057-9000,2004
08-057-9000,2005
08-057-9000,2006
08-057-9000,2007
08-057-9000,2008
08-067-9000,2005
08-067-9000,2006
08-067-9000,2007
08-067-9000,2008
08-069-0007,2000
08-069-0007,2001
08-069-0007,2002
08-069-0007,2003
08-069-0007,2004
08-069-0007,2005
08-069-0007,2006
08-069-0007,2007
08-069-0007,2008
08-069-9001,2000
08-069-9001,2001
08-069-9001,2002
08-069-9001,2003
08-069-9001,2004
08-069-9001,2005
08-069-9001,2006
08-069-9001,2007
08-069-9001,2008
08-077-0017,2004
08-077-0017,2005
08-077-0017,2006
08-077-0017,2007
08-077-0017,2008
08-083-0101,2001
08-083-0101,2003
08-083-0101,2004
08-083-0101,2005
08-083-0101,2006
08-083-0101,2007
08-083-0101,2008
08-083-9000,2000
08-083-9000,2001
08-083-9000,2003
08-083-9000,2004
08-083-9000,2005
08-083-9000,2006
08-083-9000,2007
08-083-9000,2008
08-097-0002,2001
08-097-0002,2002
08-097-0002,2003
08-097-0002,2004
08-097-0002,2005
08-097-0002,2006
08-097-0002,2007
08-097-0002,2008
08-097-9000,2001
08-097-9000,2002
08-097-9000,2003
08-097-9000,2004
08-097-9000,2005
08-097-9000,2006
08-097-9000,2007
08-097-9000,2008
08-111-9000,2000
08-111-9000,2001
08-111-9000,2002
08-111-9000,2003
08-111-9000,2004
08-111-9000,2005
08-111-9000,2006
08-111-9000,2007
08-111-9000,2008
08-123-0008,2002
08-123-0008,2003
08-123-0008,2004
08-123-0008,2005
08-123-0008,2006
08-123-0008,2007
08-123-0008,2008
09-005-0005,2002
09-005-0005,2003
09-005-0005,2004
09-005-0005,2005
09-005-0005,2006
09-005-0005,2007
09-005-0005,2008
09-009-0027,2005
09-009-0027,2006
09-009-0027,2007
09-009-0027,2008
10-001-0003,2002
10-001-0003,2003
10-001-0003,2004
10-001-0003,2005
10-001-0003,2006
10-001-0003,2007
10-001-0003,2008
10-003-2004,2002
10-003-2004,2003
10-003-2004,2004
10-003-2004,2005
